name,min,max,fat_per_100g,sodium_per_100g
water,20,60,0.0,0
soy_protein_isolate,0,20,1.0,1100
soy_protein_concentrate,0,20,0.5,600
vital_wheat_gluten,0,15,1.8,30
pea_protein_isolate,0,20,2.0,800
pea_protein_concentrate,0,15,2.5,700
rice_protein,0,10,3.5,50
fava_bean_protein,0,10,2.0,50
wheat_flour,0,10,1.0,2
corn_flour,0,8,1.5,5
rice_flour,0,8,1.4,0
chickpea_flour,0,8,6.0,25
soy_flour,0,10,20.0,3
tapioca_starch,0,8,0.0,0
potato_starch,0,8,0.1,10
corn_starch,0,8,0.1,5
wheat_starch,0,5,0.3,5
modified_food_starch,0,5,0.1,50
coconut_oil,0,15,99.0,0
canola_oil,0,10,100.0,0
sunflower_oil,0,10,100.0,0
soybean_oil,0,10,100.0,0
olive_oil,0,8,100.0,0
rapeseed_oil,0,10,100.0,0
rice_bran_oil,0,5,100.0,0
avocado_oil,0,8,100.0,0
cocoa_butter,0,5,100.0,0
shea_butter,0,5,100.0,0
sesame_oil,0,2,100.0,0
corn_oil,0,8,100.0,0
palm_oil,0,8,100.0,0
sunflower_lecithin,0,1,100.0,0
soy_lecithin,0,1,100.0,0
methylcellulose,0,3,0.0,50
carrageenan,0,1,0.0,700
xanthan_gum,0,1,0.0,800
guar_gum,0,1,0.5,10
konjac_flour,0,1.5,0.0,10
sodium_alginate,0,1,0.0,4000
pectin,0,1,0.0,200
acacia_gum,0,1,0.0,10
cellulose_fiber,0,2,0.0,50
salt,0,3,0.0,39000
sea_salt,0,2,0.0,38000
sugar,0,5,0.0,0
brown_sugar,0,3,0.0,40
cane_sugar,0,3,0.0,0
dextrose,0,3,0.0,0
maltodextrin,0,3,0.0,100
yeast_extract,0,3,0.5,4000
nutritional_yeast,0,2,4.0,50
natural_flavors,0,2,0.0,0
natural_smoke_flavor,0,1,0.0,0
caramel_color,0,1,0.0,200
soy_sauce,0,2,0.1,5700
vinegar,0,2,0.0,2
apple_cider_vinegar,0,1,0.0,5
lemon_juice_concentrate,0,1,0.0,2
citric_acid,0,0.5,0.0,0
lactic_acid,0,0.5,0.0,0
tomato_paste,0,3,0.5,30
onion_powder,0,2,1.0,20
garlic_powder,0,2,0.7,60
black_pepper,0,1,3.3,20
white_pepper,0,0.5,2.1,5
paprika,0,1,13.0,70
smoked_paprika,0,1,13.0,70
paprika_extract,0,0.3,0.0,0
turmeric,0,0.5,10.0,40
cumin,0,0.5,22.0,170
ginger_powder,0,0.5,4.2,30
cinnamon,0,0.3,1.2,10
nutmeg,0,0.3,36.0,15
mace,0,0.2,32.0,80
cardamom,0,0.2,6.7,18
thyme_dried,0,0.3,7.4,55
oregano_dried,0,0.3,4.3,25
sage_dried,0,0.3,12.7,11
parsley_dried,0,0.3,5.5,450
celery_seed,0,0.3,25.0,1460
oat_fiber,0,3,1.5,5
bamboo_fiber,0,2,0.0,0
pea_fiber,0,2,0.5,10
potato_fiber,0,2,0.1,50
psyllium_husk,0,1,0.0,10
inulin,0,2,0.0,10
beet_juice_powder,0,2,0.0,150
vegetable_juice,0,2,0.0,200
fruit_juice,0,1,0.0,5
carrot_concentrate,0,1,0.1,70
spinach_powder,0,0.5,0.4,500
mushroom_powder,0,1,2.0,30
shiitake_mushroom,0,5,1.0,9
oyster_mushroom,0,5,0.4,18
mycoprotein,0,15,3.0,5
koji_culture,0,5,1.0,10
potassium_chloride,0,1,0.0,0
calcium_chloride,0,0.5,0.0,0
cultured_dextrose,0,1,0.0,200
barley_malt_extract,0,1,0.0,35
cocoa_powder,0,1,14.0,20
