Name,Part of,Preparation,Lowest,Highest,Composition (%),Calculation,Unit,Fat per 100 g,Sodium per 100 g,Water per 100 g,Cost per 100 g
Textured pea protein,,,4,6,,,g,6.0,30,8,0.38
Textured soy protein,,,4,6,,,g,6.0,20,8,0.22
Hydration water,,,0,100,,= 2.2 * (Textured pea protein + Textured soy protein),g,0.0,0,100,0.00
Remaining water,,,0,100,,= rest,g,0.0,0,100,0.00
Dry blend,,Pre-mix: keep proportions fixed,15,18,,,g,,,,
Pea protein isolate,Dry blend,,,,66,,g,8.0,900,6,0.48
Potato starch,Dry blend,,,,26,,g,0.1,10,18,0.11
Methylcellulose,Dry blend,,,,8,,g,0.0,5,5,1.35
Wheat gluten,,,3.5,6,,,g,1.9,30,8,0.19
Seasoning blend,,Pre-mix: keep proportions fixed,2.2,2.2,,,g,,,,
Salt,Seasoning blend,,,,35,,g,0.0,39300,0,0.02
Onion powder,Seasoning blend,,,,30,,g,1.0,73,5,0.58
Yeast extract,Seasoning blend,,,,15,,g,0.5,3500,5,0.90
Natural beef-type flavour,Seasoning blend,,,,12,,g,2.0,2000,3,2.40
Beet juice powder,Seasoning blend,,,,8,,g,0.5,250,5,1.10
Fats and oils,,Blend: vary each ingredient,,,,,g,,,,
Coconut oil,Fats and oils,,6,10,,,g,99.0,0,0,0.24
Sunflower oil,Fats and oils,,2,5,,,g,100.0,0,0,0.15
